contractAddress,Mythril_Labels,Mythril_AnalysisTime,Mythril_SWC_Code,Mythril_SWC_Title,Mythril_DASP_Rank,Mythril_DASP_Title
c167f847e093b1b7947ca182fc7fe2d2,['error'],1.137573733,['error'],['error'],['error'],['error']
fea8aa8ae43544f90fd1473bdee49695,"['116', '114']",746.875492268,[],[],[],[]
518b6dbd3eb8ae62de3f395b63d203ec,['107'],309.029853938,[],[],[],[]
9ccedd24a5af6b4f8fee3633eb19230d,"['115', '105', '114']",621.226763255,[],[],[],[]
b37d7077feeed635bf11c21fd9da3037,"['101', '110']",313.741200212,[],[],[],[]
a7894705e2095db6620b50527bc43255,['101'],6.096952621,[],[],[],[]
a2f55746e74ba472b3c794083fc419b5,"['110', '115', '116']",32.261525051,[],[],[],[]
25ecaf43663af0ab0868ad0cb3d8e6f9,"['110', '116', '114', '105', '101']",329.419851823,[],[],[],[]
a591feac7f18e19937f540f6fe07253f,"['101', '116', '110']",323.654181995,[],[],[],[]
c28430394cf134981f20166b8ac1c64e,safe,1.877012615,[],[],[],[]
1254659edbfc0e614e3a5940a9d25ff5,['error'],1.172789030,['error'],['error'],['error'],['error']
5436a080bd0e6bb074c165d6d7b8cba4,['107'],2.428273820,[],[],[],[]
bd32386ca9d9f19130cee3cb773c9456,"['116', '107', '113', '110']",309.302245910,[],[],[],[]
55d078d9b5cdda996c1578c5320af52f,"['101', '115']",302.501963854,[],[],[],[]
00805ffc6f3b3ead5a87d50efd5ac2be,['error'],1.062678911,['error'],['error'],['error'],['error']
d0307253f72355489469449793f2537a,['error'],1.012492437,['error'],['error'],['error'],['error']
5542783e0e5af266da17a6a95324d0e1,['error'],1.091515613,['error'],['error'],['error'],['error']
54a416b397e2725d7b7982b42b4d930a,['112'],7.593656302,[],[],[],[]
3a7f00abaf61b3dd5d128f609434afe2,['116'],5.451766950,[],[],[],[]
c215228a920394748f6bcfc25baf56e6,"['101', '110', '107', '113', '116']",316.347994200,[],[],[],[]
36af7f1d3af5a203d51030f484a34753,['error'],1.100954364,['error'],['error'],['error'],['error']
5dd58c52cc2af58030e7eb8d5c083feb,"['110', '107', '113']",308.812349760,[],[],[],[]
2dc8ebc5e433f10248ccbbc158167006,['110'],7.391979676,[],[],[],[]
f9e857596ce224dfd74248643ebea734,"['110', '101']",319.922878684,[],[],[],[]
d3090b7973f19569d439c7b89a70edb2,['105'],749.679712123,[],[],[],[]
e42f79800a4c6a1bf6fded5cf76c5b5e,safe,305.415565192,[],[],[],[]
a7c0c8095688f43edb5727c9569a7be1,"['101', '120', '114', '107', '113']",87.864721005,[],[],[],[]
6c6181b8ea3ac386f2f33a3fb5d4ff88,"['101', '110', '107', '113']",370.709429011,[],[],[],[]
6663c325676a319e17e7376e58fb4157,"['105', '114', '107']",315.581294257,[],[],[],[]
434eda620e7a5a7ad22f000be6efeb54,"['110', '107', '113']",309.425178710,[],[],[],[]
a696d412e415e513d624a03221018d60,"['101', '116', '114', '105', '120', '107', '110']",629.294234369,[],[],[],[]
77bdcc525bbdbc192d216964b3cc597b,error,341.916475888,[],[],[],[]
e2f33f7064c4869718a833179b079db1,error,400.924090910,[],[],[],[]
56d37edcdbad29a19c64d906e452b2e5,"['120', '114', '113', '116']",304.054721224,[],[],[],[]
8d6461ba55fee8ee89a5a6525476f36f,['101'],8.624871304,[],[],[],[]
d09506a32b5b02639cedfad23dd77dfa,"['116', '110', '101']",475.416815930,[],[],[],[]
c91dd487c6dad948e096c360fec5769d,safe,322.033698561,[],[],[],[]
c73fa27f9ce017c02dd2e11d0ba91ff4,['error'],1.205764316,['error'],['error'],['error'],['error']
7b48f8872cd4c0341402cd36505e1f73,"['101', '120', '107', '114']",47.611456872,[],[],[],[]
97de38d395d4dc84284c54a49b16fabf,['error'],1.345877883,['error'],['error'],['error'],['error']
9cb333ca5facce27e4580220e357f56b,"['114', '110']",535.899180991,[],[],[],[]
70678cc3473c4eca64c775ca6e9ba659,"['110', '107', '113']",312.354269479,[],[],[],[]
e9bfb1196c3d5b8f2515b073f5b9b94b,"['116', '110', '107', '101']",318.323954143,[],[],[],[]
ef4048f9bb62bae6e6010b4c161bb819,safe,208.192595814,[],[],[],[]
828105a81b9c451dad83348131c07d5d,"['101', '116', '107', '110']",615.892932412,[],[],[],[]
2c4b91cc4be3826201e30804297a6566,['error'],1.051898756,['error'],['error'],['error'],['error']
76a846f8a0240bbbd5dbdb0eac0a01c5,['error'],1.058833374,['error'],['error'],['error'],['error']
c3df3c20c8b2aed1c86adf15e5e444e5,"['110', '116']",470.993198630,[],[],[],[]
e40aad3025ecd3e706b607fc79f59b56,"['110', '114', '105', '116']",998.666139157,[],[],[],[]
7d6b9a034771315b63328b230f104990,"['107', '116', '123', '104']",1710.797560305,[],[],[],[]
ba398b0756615ac6deb5f6b75e166043,"['116', '114', '105', '101']",311.291008278,[],[],[],[]
