id,MAIAN_1,MAIAN_2,MAIAN_3,MAIAN_4,MAIAN_5,MAIAN_6,MAIAN_7,MAIAN_8,MAIAN_9,MAIAN_10,Mythril_1,Mythril_2,Mythril_3,Mythril_4,Mythril_5,Mythril_6,Mythril_7,Mythril_8,Mythril_9,Mythril_10,Semgrep_1,Semgrep_2,Semgrep_3,Semgrep_4,Semgrep_5,Semgrep_6,Semgrep_7,Semgrep_8,Semgrep_9,Semgrep_10,Slither_1,Slither_2,Slither_3,Slither_4,Slither_5,Slither_6,Slither_7,Slither_8,Slither_9,Slither_10,Solhint_1,Solhint_2,Solhint_3,Solhint_4,Solhint_5,Solhint_6,Solhint_7,Solhint_8,Solhint_9,Solhint_10,VeriSmart_1,VeriSmart_2,VeriSmart_3,VeriSmart_4,VeriSmart_5,VeriSmart_6,VeriSmart_7,VeriSmart_8,VeriSmart_9,VeriSmart_10
03cb12826f2844106216a23484264edf,,0,,,0,,,,,,1,0,1,0,0,0,0,0,,1,0,0,0,,,0,,0,,1,0,1,0,1,1,0,,1,,1,0,1,,0,0,0,,1,,1,,1,1,,,,,,,
03d0baf5a3e31dda5d1efe05d40658d8,,0,,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,0,0,0,0,0,,0,,1,0,0,,0,0,0,,0,,1,,0,0,,,,,,,
03dd87f7eb98c47880114e522233a79c,,0,,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,0,0,0,1,0,,0,,1,0,0,,0,0,0,,0,,1,,0,1,,,,,,,
04a8004f4d161150f9a5bad912ea1df3,,0,,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,1,0,0,0,0,0,0,,0,,1,0,0,,0,0,0,,0,,1,,0,0,,,,,,,
05057cb9bac7510bfde2597050d4b36e,,0,,,0,,,,,,0,1,0,0,0,0,0,0,,1,0,0,0,,,0,,0,,0,0,0,0,0,0,0,,0,,1,0,1,,0,0,0,,0,,1,,0,1,,,,,,,
050d9b669e0a36a25d8bcdfdab64cc2d,,0,,,0,,,,,,0,0,1,0,0,0,0,1,,0,0,0,0,,,0,,0,,1,0,1,0,0,1,0,,1,,1,0,1,,0,0,0,,1,,1,,0,1,,,,,,,
056e44e7eb5f00cae045e0b5a34b9c3d,,0,,,0,,,,,,1,0,0,1,0,0,0,0,,0,0,0,0,,,0,,0,,1,1,1,1,1,0,0,,0,,1,1,1,,1,0,0,,1,,1,,1,1,,,,,,,
0577326ac4a685c6148dde8eac56236f,,0,,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,0,0,0,0,0,,0,,1,0,0,,0,0,0,,0,,1,,0,0,,,,,,,
05a16bca48750b9ea9e52f8412b4cf63,,0,,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,1,0,0,0,0,0,0,,0,,1,0,1,,0,0,0,,0,,1,,0,0,,,,,,,
05fecfbf66b19b64ef7b468b71052fd5,,0,,,0,,,,,,1,1,1,0,1,0,0,0,,1,0,0,0,,,0,,0,,1,1,1,0,1,0,1,,0,,1,1,1,,1,1,0,,0,,1,,1,1,,,,,,,
